State,Action,NextState
"(4378.25, 45.0, 4378.5, 1.0)",WAIT,"(4378.25, 46.0, 4378.5, 1.0)"
"(4378.25, 46.0, 4378.5, 1.0)",WAIT,"(4378.25, 46.0, 4378.75, 47.0)"
"(4378.25, 46.0, 4378.75, 47.0)",WAIT,"(4378.25, 46.0, 4378.75, 46.0)"
"(4378.25, 46.0, 4378.75, 46.0)",WAIT,"(4378.25, 46.0, 4378.75, 47.0)"
"(4378.25, 46.0, 4378.75, 47.0)",WAIT,"(4378.25, 45.0, 4378.75, 47.0)"
"(4378.25, 45.0, 4378.75, 47.0)",WAIT,"(4378.25, 44.0, 4378.75, 47.0)"
"(4378.25, 44.0, 4378.75, 47.0)",WAIT,"(4378.25, 44.0, 4378.5, 1.0)"
"(4378.25, 44.0, 4378.5, 1.0)",WAIT,"(4378.25, 43.0, 4378.5, 1.0)"
"(4378.25, 43.0, 4378.5, 1.0)",WAIT,"(4378.25, 43.0, 4378.5, 2.0)"
"(4378.25, 43.0, 4378.5, 2.0)",WAIT,"(4378.25, 43.0, 4378.5, 3.0)"
"(4378.25, 43.0, 4378.5, 3.0)",WAIT,"(4378.25, 43.0, 4378.5, 5.0)"
"(4378.25, 43.0, 4378.5, 5.0)",WAIT,"(4378.25, 43.0, 4378.5, 9.0)"
"(4378.25, 43.0, 4378.5, 9.0)",WAIT,"(4378.25, 43.0, 4378.5, 10.0)"
"(4378.25, 43.0, 4378.5, 10.0)",WAIT,"(4378.25, 44.0, 4378.5, 10.0)"
"(4378.25, 44.0, 4378.5, 10.0)",WAIT,"(4378.25, 45.0, 4378.5, 10.0)"
"(4378.25, 45.0, 4378.5, 10.0)",WAIT,"(4378.25, 45.0, 4378.5, 8.0)"
"(4378.25, 45.0, 4378.5, 8.0)",WAIT,"(4378.25, 45.0, 4378.5, 7.0)"
"(4378.25, 45.0, 4378.5, 7.0)",WAIT,"(4378.25, 45.0, 4378.5, 3.0)"
